"Date","Price","Open","High","Low","Vol.","Change %"
"2022-04-01","4,131.93","4,540.32","4,593.45","4,124.28","","-8.80%"
"2022-03-01","4,530.41","4,363.14","4,637.30","4,157.87","","3.58%"
"2022-02-01","4,373.94","4,519.57","4,595.31","4,114.65","","-3.14%"
"2022-01-01","4,515.55","4,778.14","4,818.62","4,222.62","","-5.26%"
"2021-12-01","4,766.18","4,602.82","4,808.93","4,495.12","","4.36%"
"2021-11-01","4,567.00","4,610.62","4,743.83","4,560.00","","-0.83%"
"2021-10-01","4,605.38","4,317.16","4,608.08","4,278.94","","6.91%"
"2021-09-01","4,307.54","4,528.80","4,545.85","4,305.91","","-4.76%"
"2021-08-01","4,522.68","4,406.86","4,537.36","4,367.73","","2.90%"
"2021-07-01","4,395.26","4,300.73","4,429.97","4,233.13","","2.27%"
"2021-06-01","4,297.50","4,216.52","4,302.43","4,164.40","","2.22%"
"2021-05-01","4,204.11","4,191.98","4,238.04","4,056.88","","0.55%"
"2021-04-01","4,181.17","3,992.78","4,218.78","3,992.78","","5.24%"
"2021-03-01","3,972.89","3,842.51","3,994.41","3,723.34","","4.24%"
"2021-02-01","3,811.15","3,731.17","3,950.43","3,725.62","","2.61%"
"2021-01-01","3,714.24","3,764.61","3,870.90","3,662.71","","-1.11%"
"2020-12-01","3,756.07","3,645.87","3,760.20","3,633.40","","3.71%"
"2020-11-01","3,621.63","3,296.20","3,645.99","3,279.74","","10.75%"
"2020-10-01","3,269.96","3,385.87","3,549.85","3,233.94","","-2.77%"
"2020-09-01","3,363.00","3,507.44","3,588.11","3,209.45","","-3.92%"
"2020-08-01","3,500.31","3,288.26","3,514.77","3,284.53","","7.01%"
"2020-07-01","3,271.12","3,105.92","3,279.99","3,101.17","","5.51%"
"2020-06-01","3,100.29","3,038.78","3,233.13","2,965.66","","1.84%"
"2020-05-01","3,044.31","2,869.09","3,068.67","2,766.64","","4.53%"
"2020-04-01","2,912.43","2,498.08","2,954.86","2,447.49","","12.68%"
"2020-03-01","2,584.59","2,974.28","3,136.72","2,191.86","","-12.51%"
"2020-02-01","2,954.22","3,235.66","3,393.52","2,855.84","","-8.41%"
"2020-01-01","3,225.52","3,244.67","3,337.77","3,214.64","","-0.16%"
"2019-12-01","3,230.78","3,143.85","3,247.93","3,070.33","","2.86%"
"2019-11-01","3,140.98","3,050.72","3,154.26","3,050.72","","3.40%"
"2019-10-01","3,037.56","2,983.69","3,050.10","2,855.94","","2.04%"
"2019-09-01","2,976.74","2,909.01","3,021.99","2,891.85","","1.72%"
"2019-08-01","2,926.46","2,980.32","3,013.59","2,822.12","","-1.81%"
"2019-07-01","2,980.38","2,971.41","3,027.98","2,952.22","","1.31%"
"2019-06-01","2,941.76","2,751.53","2,964.15","2,728.81","","6.89%"
"2019-05-01","2,752.06","2,952.33","2,954.13","2,750.52","","-6.58%"
"2019-04-01","2,945.83","2,848.63","2,949.52","2,848.63","","3.93%"
"2019-03-01","2,834.40","2,798.22","2,860.31","2,722.27","","1.79%"
"2019-02-01","2,784.49","2,702.32","2,813.49","2,681.83","","2.97%"
"2019-01-01","2,704.10","2,476.96","2,708.95","2,443.96","","7.87%"
"2018-12-01","2,506.85","2,790.50","2,800.18","2,346.58","","-9.18%"
"2018-11-01","2,760.17","2,717.58","2,815.15","2,631.09","","1.79%"
"2018-10-01","2,711.74","2,926.29","2,939.86","2,603.54","","-6.94%"
"2018-09-01","2,913.98","2,896.96","2,940.91","2,864.12","","0.43%"
"2018-08-01","2,901.52","2,821.17","2,916.50","2,796.34","","3.03%"
"2018-07-01","2,816.29","2,704.95","2,848.03","2,698.95","","3.60%"
"2018-06-01","2,718.37","2,718.70","2,791.47","2,691.99","","0.48%"
"2018-05-01","2,705.27","2,643.64","2,742.24","2,594.62","","2.16%"
"2018-04-01","2,648.05","2,633.45","2,717.49","2,553.80","","0.27%"
"2018-03-01","2,640.87","2,715.22","2,801.90","2,585.89","","-2.69%"
"2018-02-01","2,713.83","2,816.45","2,835.96","2,532.69","","-3.89%"
"2018-01-01","2,823.81","2,683.73","2,872.87","2,682.36","","5.62%"
"2017-12-01","2,673.61","2,645.10","2,694.97","2,605.52","","0.98%"
"2017-11-01","2,647.58","2,583.21","2,657.74","2,557.45","","2.81%"
"2017-10-01","2,575.26","2,521.20","2,582.98","2,520.40","","2.22%"
"2017-09-01","2,519.36","2,474.42","2,519.44","2,446.55","","1.93%"
"2017-08-01","2,471.65","2,477.10","2,490.87","2,417.35","","0.05%"
"2017-07-01","2,470.30","2,431.39","2,484.04","2,407.70","","1.93%"
"2017-06-01","2,423.41","2,415.65","2,453.82","2,405.70","","0.48%"
"2017-05-01","2,411.80","2,388.50","2,418.71","2,352.72","","1.16%"
"2017-04-01","2,384.20","2,362.34","2,398.16","2,328.95","","0.91%"
"2017-03-01","2,362.72","2,380.13","2,400.98","2,322.25","","-0.04%"
"2017-02-01","2,363.64","2,285.59","2,371.54","2,271.65","","3.72%"
"2017-01-01","2,278.87","2,251.57","2,300.99","2,245.13","","1.79%"
"2016-12-01","2,238.83","2,200.17","2,277.53","2,187.44","","1.82%"
"2016-11-01","2,198.81","2,128.68","2,214.10","2,083.79","","3.42%"
"2016-10-01","2,126.15","2,164.33","2,169.60","2,114.72","","-1.94%"
"2016-09-01","2,168.27","2,171.33","2,187.87","2,119.12","","-0.12%"
"2016-08-01","2,170.95","2,173.15","2,193.81","2,147.58","","-0.12%"
"2016-07-01","2,173.60","2,099.34","2,177.09","2,074.02","","3.56%"
"2016-06-01","2,098.86","2,093.94","2,120.55","1,991.68","","0.09%"
"2016-05-01","2,096.96","2,067.17","2,103.48","2,025.91","","1.53%"
"2016-04-01","2,065.30","2,056.62","2,111.05","2,033.80","","0.27%"
"2016-03-01","2,059.74","1,937.09","2,072.21","1,937.09","","6.60%"
"2016-02-01","1,932.23","1,936.94","1,962.96","1,810.10","","-0.41%"
"2016-01-01","1,940.24","2,038.20","2,038.20","1,812.29","","-5.07%"
"2015-12-01","2,043.94","2,082.93","2,104.27","1,993.26","","-1.75%"
"2015-11-01","2,080.41","2,080.76","2,116.48","2,019.39","","0.05%"
"2015-10-01","2,079.36","1,919.65","2,094.32","1,893.70","","8.30%"
"2015-09-01","1,920.03","1,970.09","2,020.86","1,871.91","","-2.64%"
"2015-08-01","1,972.18","2,104.49","2,112.66","1,867.01","","-6.26%"
"2015-07-01","2,103.84","2,067.00","2,132.82","2,044.02","","1.97%"
"2015-06-01","2,063.11","2,108.64","2,129.87","2,056.32","","-2.10%"
"2015-05-01","2,107.39","2,087.38","2,134.72","2,067.93","","1.05%"
"2015-04-01","2,085.51","2,067.63","2,125.92","2,048.38","","0.85%"
"2015-03-01","2,067.89","2,105.23","2,117.52","2,039.69","","-1.74%"
"2015-02-01","2,104.50","1,996.67","2,119.59","1,980.90","","5.49%"
"2015-01-01","1,994.99","2,058.90","2,072.36","1,988.12","","-3.10%"
"2014-12-01","2,058.90","2,065.78","2,093.55","1,972.56","","-0.42%"
"2014-11-01","2,067.56","2,018.21","2,075.76","2,001.01","","2.45%"
"2014-10-01","2,018.05","1,971.44","2,018.19","1,820.66","","2.32%"
"2014-09-01","1,972.29","2,004.07","2,019.26","1,964.04","","-1.55%"
"2014-08-01","2,003.37","1,929.80","2,005.04","1,904.78","","3.77%"
"2014-07-01","1,930.67","1,962.29","1,991.39","1,930.67","","-1.51%"
"2014-06-01","1,960.23","1,923.87","1,968.17","1,915.98","","1.91%"
"2014-05-01","1,923.57","1,884.39","1,924.03","1,859.79","","2.10%"
"2014-04-01","1,883.95","1,873.96","1,897.28","1,814.36","","0.62%"
"2014-03-01","1,872.34","1,857.68","1,883.97","1,834.44","","0.69%"
"2014-02-01","1,859.45","1,782.68","1,867.92","1,737.92","","4.31%"
"2014-01-01","1,782.60","1,845.90","1,850.80","1,770.50","","-3.56%"
"2013-12-01","1,848.40","1,806.50","1,849.40","1,768.00","","2.36%"
"2013-11-01","1,805.80","1,758.70","1,813.50","1,746.20","","2.81%"
"2013-10-01","1,756.50","1,682.40","1,775.20","1,646.50","","4.46%"
"2013-09-01","1,681.50","1,636.00","1,729.90","1,633.40","","2.97%"
"2013-08-01","1,633.00","1,689.40","1,709.70","1,627.50","","-3.13%"
"2013-07-01","1,685.70","1,609.80","1,698.80","1,604.60","","4.94%"
"2013-06-01","1,606.30","1,631.70","1,654.20","1,560.30","","-1.50%"
"2013-05-01","1,630.70","1,597.50","1,687.20","1,581.30","","2.07%"
"2013-04-01","1,597.60","1,569.20","1,597.60","1,536.00","","1.81%"
"2013-03-01","1,569.20","1,514.70","1,570.30","1,501.50","","3.60%"
"2013-02-01","1,514.70","1,498.10","1,530.90","1,485.00","","1.11%"
"2013-01-01","1,498.10","1,426.20","1,509.90","1,426.20","","5.04%"
"2012-12-01","1,426.20","1,416.30","1,448.00","1,398.10","","0.71%"
"2012-11-01","1,416.20","1,412.20","1,434.30","1,343.30","","0.28%"
"2012-10-01","1,412.20","1,440.90","1,471.00","1,403.30","","-1.98%"
"2012-09-01","1,440.70","1,406.50","1,474.50","1,396.60","","2.42%"
"2012-08-01","1,406.60","1,379.30","1,426.70","1,354.70","","1.98%"
"2012-07-01","1,379.30","1,362.30","1,391.70","1,325.40","","1.26%"
"2012-06-01","1,362.20","1,309.90","1,363.50","1,266.70","","3.96%"
"2012-05-01","1,310.30","1,397.90","1,415.30","1,292.00","","-6.27%"
"2012-04-01","1,397.90","1,408.50","1,422.40","1,357.40","","-0.75%"
"2012-03-01","1,408.50","1,365.90","1,419.20","1,340.00","","3.13%"
"2012-02-01","1,365.70","1,312.50","1,378.00","1,312.50","","4.06%"
"2012-01-01","1,312.40","1,258.90","1,333.50","1,258.90","","4.36%"
"2011-12-01","1,257.60","1,246.90","1,269.40","1,202.40","","0.85%"
"2011-11-01","1,247.00","1,251.00","1,277.50","1,158.70","","-0.50%"
"2011-10-01","1,253.30","1,131.20","1,292.70","1,074.80","","10.77%"
"2011-09-01","1,131.40","1,219.10","1,229.30","1,114.20","","-7.18%"
"2011-08-01","1,218.90","1,292.60","1,307.40","1,101.50","","-5.68%"
"2011-07-01","1,292.30","1,320.60","1,356.50","1,282.90","","-2.14%"
"2011-06-01","1,320.60","1,345.20","1,345.20","1,258.10","","-1.83%"
"2011-05-01","1,345.20","1,365.20","1,370.60","1,311.80","","-1.35%"
"2011-04-01","1,363.60","1,329.50","1,364.60","1,294.70","","2.85%"
"2011-03-01","1,325.80","1,328.60","1,332.30","1,249.00","","-0.11%"
"2011-02-01","1,327.20","1,289.10","1,344.10","1,289.10","","3.20%"
"2011-01-01","1,286.10","1,257.60","1,302.70","1,257.60","","2.27%"
"2010-12-01","1,257.60","1,186.60","1,262.60","1,186.60","","6.53%"
"2010-11-01","1,180.50","1,185.70","1,227.10","1,173.00","","-0.24%"
"2010-10-01","1,183.30","1,143.50","1,196.10","1,131.90","","3.69%"
"2010-09-01","1,141.20","1,049.70","1,157.20","1,049.70","","8.76%"
"2010-08-01","1,049.30","1,107.50","1,129.20","1,039.70","","-4.75%"
"2010-07-01","1,101.60","1,031.10","1,121.00","1,010.90","","6.88%"
"2010-06-01","1,030.70","1,087.30","1,131.20","1,028.30","","-5.39%"
"2010-05-01","1,089.40","1,188.60","1,205.10","1,040.80","","-8.20%"
"2010-04-01","1,186.70","1,171.20","1,219.80","1,170.70","","1.48%"
"2010-03-01","1,169.40","1,105.40","1,180.70","1,105.40","","5.88%"
"2010-02-01","1,104.50","1,073.90","1,112.40","1,044.50","","2.85%"
"2010-01-01","1,073.90","1,116.60","1,150.50","1,071.60","","-3.69%"
"2009-12-01","1,115.10","1,098.90","1,130.40","1,085.90","","1.78%"
"2009-11-01","1,095.60","1,036.20","1,113.70","1,029.40","","5.73%"
"2009-10-01","1,036.20","1,054.90","1,101.40","1,020.00","","-1.98%"
"2009-09-01","1,057.10","1,019.50","1,080.20","992.00","","3.58%"
"2009-08-01","1,020.60","990.20","1,039.50","978.50","","3.35%"
"2009-07-01","987.50","920.80","996.70","869.30","","7.42%"
"2009-06-01","919.30","923.30","956.20","888.90","","0.02%"
"2009-05-01","919.10","872.70","930.20","866.10","","5.30%"
"2009-04-01","872.80","793.60","888.70","783.30","","9.39%"
"2009-03-01","797.90","729.60","833.00","666.80","","8.54%"
"2009-02-01","735.10","823.10","875.00","734.50","","-10.99%"
"2009-01-01","825.90","903.00","943.90","804.30","","-8.56%"
"2008-12-01","903.20","888.60","918.90","815.70","","0.78%"
"2008-11-01","896.20","968.70","1,007.50","741.00","","-7.49%"
"2008-10-01","968.80","1,164.20","1,167.00","839.80","","-16.94%"
"2008-09-01","1,166.40","1,287.80","1,303.00","1,106.40","","-9.07%"
"2008-08-01","1,282.80","1,269.40","1,313.20","1,247.50","","1.22%"
"2008-07-01","1,267.40","1,276.70","1,292.20","1,200.40","","-0.98%"
"2008-06-01","1,280.00","1,399.60","1,404.00","1,272.00","","-8.60%"
"2008-05-01","1,400.40","1,386.00","1,440.20","1,373.10","","1.07%"
"2008-04-01","1,385.60","1,326.40","1,404.60","1,324.30","","4.76%"
"2008-03-01","1,322.70","1,330.50","1,359.70","1,257.00","","-0.59%"
"2008-02-01","1,330.60","1,378.60","1,396.00","1,316.80","","-3.47%"
"2008-01-01","1,378.50","1,468.00","1,471.80","1,270.00","","-6.12%"
"2007-12-01","1,468.40","1,479.60","1,523.60","1,435.70","","-0.86%"
"2007-11-01","1,481.10","1,545.80","1,545.80","1,406.10","","-4.41%"
"2007-10-01","1,549.40","1,527.30","1,576.10","1,489.60","","1.48%"
"2007-09-01","1,526.80","1,474.00","1,538.70","1,439.30","","3.58%"
"2007-08-01","1,474.00","1,455.20","1,503.90","1,370.60","","1.28%"
"2007-07-01","1,455.30","1,504.70","1,555.90","1,454.20","","-3.19%"
"2007-06-01","1,503.30","1,530.60","1,540.60","1,484.20","","-1.78%"
"2007-05-01","1,530.60","1,482.40","1,535.60","1,476.70","","3.25%"
"2007-04-01","1,482.40","1,420.80","1,498.00","1,416.40","","4.33%"
"2007-03-01","1,420.90","1,406.80","1,438.90","1,364.00","","1.00%"
"2007-02-01","1,406.80","1,437.90","1,461.60","1,389.40","","-2.18%"
"2007-01-01","1,438.20","1,418.00","1,441.60","1,404.00","","1.40%"
"2006-12-01","1,418.30","1,400.60","1,431.80","1,385.90","","1.26%"
"2006-11-01","1,400.60","1,377.80","1,407.90","1,361.00","","1.65%"
"2006-10-01","1,377.90","1,335.80","1,389.50","1,327.10","","3.15%"
"2006-09-01","1,335.80","1,303.80","1,340.30","1,290.90","","2.45%"
"2006-08-01","1,303.80","1,278.50","1,306.70","1,261.30","","2.12%"
"2006-07-01","1,276.70","1,270.10","1,280.40","1,224.50","","0.51%"
"2006-06-01","1,270.20","1,270.00","1,290.70","1,219.30","","0.01%"
"2006-05-01","1,270.10","1,310.60","1,326.70","1,245.30","","-3.09%"
"2006-04-01","1,310.60","1,302.90","1,318.20","1,280.70","","1.22%"
"2006-03-01","1,294.80","1,280.70","1,310.90","1,268.40","","1.10%"
"2006-02-01","1,280.70","1,280.10","1,297.60","1,253.60","","0.05%"
"2006-01-01","1,280.10","1,248.30","1,294.90","1,245.70","","2.55%"
"2005-12-01","1,248.30","1,249.50","1,275.80","1,246.60","","-0.10%"
"2005-11-01","1,249.50","1,207.00","1,270.60","1,201.10","","3.52%"
"2005-10-01","1,207.00","1,228.80","1,233.30","1,168.20","","-1.77%"
"2005-09-01","1,228.80","1,220.30","1,243.10","1,205.30","","0.70%"
"2005-08-01","1,220.30","1,234.20","1,245.90","1,201.10","","-1.13%"
"2005-07-01","1,234.20","1,191.30","1,245.20","1,183.50","","3.60%"
"2005-06-01","1,191.30","1,191.50","1,219.60","1,188.30","","-0.02%"
"2005-05-01","1,191.50","1,156.80","1,199.60","1,146.20","","3.00%"
"2005-04-01","1,156.80","1,180.60","1,191.90","1,136.20","","-2.02%"
"2005-03-01","1,180.60","1,203.60","1,229.10","1,163.70","","-1.91%"
"2005-02-01","1,203.60","1,181.30","1,212.40","1,181.00","","1.89%"
"2005-01-01","1,181.30","1,211.90","1,217.90","1,163.80","","-2.52%"
"2004-12-01","1,211.90","1,173.80","1,217.30","1,173.80","","3.25%"
"2004-11-01","1,173.80","1,130.20","1,188.50","1,127.50","","3.86%"
"2004-10-01","1,130.20","1,114.60","1,142.00","1,090.20","","1.40%"
"2004-09-01","1,114.60","1,104.20","1,131.50","1,099.10","","0.94%"
"2004-08-01","1,104.20","1,101.70","1,109.70","1,060.70","","0.23%"
"2004-07-01","1,101.70","1,140.80","1,140.80","1,078.80","","-3.43%"
"2004-06-01","1,140.80","1,120.70","1,146.30","1,113.30","","1.79%"
"2004-05-01","1,120.70","1,107.30","1,127.70","1,076.30","","1.21%"
"2004-04-01","1,107.30","1,126.20","1,150.60","1,107.20","","-1.68%"
"2004-03-01","1,126.20","1,144.90","1,163.20","1,087.10","","-1.63%"
"2004-02-01","1,144.90","1,131.10","1,159.00","1,124.40","","1.22%"
"2004-01-01","1,131.10","1,111.90","1,155.40","1,105.10","","1.73%"
"2003-12-01","1,111.90","1,058.20","1,112.60","1,053.40","","5.07%"
"2003-11-01","1,058.20","1,050.70","1,063.70","1,031.20","","0.71%"
"2003-10-01","1,050.70","996.00","1,053.80","996.00","","5.49%"
"2003-09-01","996.00","1,008.00","1,040.30","990.40","","-1.19%"
"2003-08-01","1,008.00","990.30","1,011.00","960.80","","1.79%"
"2003-07-01","990.30","974.50","1,015.40","962.10","","1.62%"
"2003-06-01","974.50","963.60","1,015.30","963.60","","1.13%"
"2003-05-01","963.60","916.90","965.40","902.80","","5.09%"
"2003-04-01","916.90","848.20","924.20","847.90","","8.10%"
"2003-03-01","848.20","841.10","895.90","788.90","","0.84%"
"2003-02-01","841.10","855.70","864.60","806.30","","-1.71%"
"2003-01-01","855.70","879.80","935.00","840.30","","-2.74%"
"2002-12-01","879.80","936.30","954.30","869.50","","-6.03%"
"2002-11-01","936.30","885.80","941.80","872.00","","5.70%"
"2002-10-01","885.80","815.30","907.40","768.60","","8.65%"
"2002-09-01","815.30","916.10","924.00","800.20","","-11.00%"
"2002-08-01","916.10","911.60","965.00","833.40","","0.49%"
"2002-07-01","911.60","989.80","994.50","775.70","","-7.90%"
"2002-06-01","989.80","1,067.10","1,070.70","952.90","","-7.24%"
"2002-05-01","1,067.10","1,076.90","1,106.60","1,049.00","","-0.91%"
"2002-04-01","1,076.90","1,146.00","1,147.80","1,063.50","","-6.14%"
"2002-03-01","1,147.40","1,108.70","1,173.90","1,108.70","","3.68%"
"2002-02-01","1,106.70","1,127.40","1,130.20","1,074.40","","-2.08%"
"2002-01-01","1,130.20","1,149.00","1,177.00","1,081.70","","-1.56%"
"2001-12-01","1,148.10","1,139.50","1,173.60","1,114.50","","0.75%"
"2001-11-01","1,139.50","1,063.10","1,163.40","1,054.30","","7.52%"
"2001-10-01","1,059.80","1,037.90","1,110.60","1,026.80","","1.82%"
"2001-09-01","1,040.90","1,133.60","1,155.40","944.80","","-8.18%"
"2001-08-01","1,133.60","1,211.20","1,226.30","1,124.90","","-6.41%"
"2001-07-01","1,211.20","1,224.40","1,239.80","1,165.50","","-1.08%"
"2001-06-01","1,224.40","1,255.80","1,286.60","1,203.00","","-2.50%"
"2001-05-01","1,255.80","1,249.50","1,315.90","1,232.00","","0.50%"
"2001-04-01","1,249.50","1,160.30","1,269.30","1,092.00","","7.69%"
"2001-03-01","1,160.30","1,239.90","1,267.40","1,081.20","","-6.42%"
"2001-02-01","1,239.90","1,366.00","1,376.40","1,215.40","","-9.23%"
"2001-01-01","1,366.00","1,320.30","1,383.40","1,274.60","","3.46%"
"2000-12-01","1,320.30","1,315.00","1,389.00","1,254.10","","0.40%"
"2000-11-01","1,315.00","1,429.40","1,438.50","1,294.90","","-8.00%"
"2000-10-01","1,429.40","1,436.50","1,454.80","1,305.80","","-0.49%"
"2000-09-01","1,436.50","1,517.70","1,530.00","1,419.50","","-5.35%"
"2000-08-01","1,517.70","1,430.80","1,525.30","1,426.00","","6.07%"
"2000-07-01","1,430.80","1,454.60","1,517.20","1,414.20","","-1.64%"
"2000-06-01","1,454.60","1,420.60","1,489.00","1,420.60","","2.39%"
"2000-05-01","1,420.60","1,452.40","1,481.40","1,361.20","","-2.19%"
"2000-04-01","1,452.40","1,498.60","1,527.10","1,339.40","","-3.08%"
"2000-03-01","1,498.60","1,366.40","1,553.10","1,346.50","","9.68%"
"2000-02-01","1,366.40","1,394.50","1,444.40","1,325.00","","-2.02%"
"2000-01-01","1,394.50","1,469.20","1,478.00","1,350.00","","-5.08%"
"1999-12-01","1,469.20","1,388.90","1,473.10","1,387.50","","5.78%"
"1999-11-01","1,388.90","1,362.90","1,425.30","1,346.40","","1.91%"
"1999-10-01","1,362.90","1,282.70","1,373.20","1,233.70","","6.25%"
"1999-09-01","1,282.70","1,320.40","1,361.30","1,256.30","","-2.86%"
"1999-08-01","1,320.40","1,328.70","1,382.80","1,267.70","","-0.62%"
"1999-07-01","1,328.70","1,372.70","1,420.30","1,328.50","","-3.21%"
"1999-06-01","1,372.70","1,301.80","1,372.90","1,277.50","","5.45%"
"1999-05-01","1,301.80","1,335.20","1,376.00","1,277.30","","-2.50%"
"1999-04-01","1,335.20","1,286.40","1,371.60","1,282.60","","3.79%"
"1999-03-01","1,286.40","1,238.30","1,323.80","1,216.00","","3.88%"
"1999-02-01","1,238.30","1,279.60","1,283.80","1,211.90","","-3.23%"
"1999-01-01","1,279.60","1,229.20","1,280.40","1,205.50","","4.10%"
"1998-12-01","1,229.20","1,163.60","1,244.90","1,136.90","","5.64%"
"1998-11-01","1,163.60","1,098.70","1,193.00","1,098.70","","5.91%"
"1998-10-01","1,098.70","1,017.00","1,103.80","923.30","","8.03%"
"1998-09-01","1,017.00","957.30","1,066.10","940.00","","6.24%"
"1998-08-01","957.30","1,120.70","1,121.80","957.30","","-14.58%"
"1998-07-01","1,120.70","1,133.80","1,190.60","1,114.30","","-1.16%"
"1998-06-01","1,133.80","1,090.80","1,145.20","1,074.70","","3.94%"
"1998-05-01","1,090.80","1,111.80","1,130.50","1,074.40","","-1.89%"
"1998-04-01","1,111.80","1,101.80","1,133.00","1,076.70","","0.91%"
"1998-03-01","1,101.80","1,049.30","1,113.10","1,030.90","","5.00%"
"1998-02-01","1,049.30","980.30","1,051.70","980.30","","7.04%"
"1998-01-01","980.30","970.40","992.60","912.80","","1.02%"
"1997-12-01","970.40","955.40","986.20","924.90","","1.57%"
"1997-11-01","955.40","914.60","964.50","900.60","","4.46%"
"1997-10-01","914.60","950.90","983.10","855.30","","-3.45%"
"1997-09-01","947.30","899.50","960.60","899.50","","5.31%"
"1997-08-01","899.50","954.30","964.20","893.30","","-5.74%"
"1997-07-01","954.30","885.10","957.70","884.50","","7.82%"
"1997-06-01","885.10","848.30","902.10","838.80","","4.34%"
"1997-05-01","848.30","801.30","851.90","793.20","","5.87%"
"1997-04-01","801.30","757.10","804.10","733.50","","5.84%"
"1997-03-01","757.10","790.80","814.90","756.10","","-4.26%"
"1997-02-01","790.80","786.20","817.70","773.40","","0.59%"
"1997-01-01","786.20","740.70","794.70","729.50","","6.14%"
"1996-12-01","740.70","757.00","761.80","716.70","","-2.15%"
"1996-11-01","757.00","705.30","762.10","701.30","","7.33%"
"1996-10-01","705.30","687.30","714.10","684.40","","2.62%"
"1996-09-01","687.30","652.00","690.90","644.00","","5.41%"
"1996-08-01","652.00","640.00","670.70","639.50","","1.88%"
"1996-07-01","640.00","670.60","675.90","605.90","","-4.56%"
"1996-06-01","670.60","669.10","680.30","658.80","","0.22%"
"1996-05-01","669.10","654.20","681.10","630.10","","2.28%"
"1996-04-01","654.20","645.50","656.70","624.10","","1.35%"
"1996-03-01","645.50","640.40","657.00","627.60","","0.80%"
"1996-02-01","640.40","636.00","664.20","633.70","","0.69%"
"1996-01-01","636.00","615.90","636.20","597.30","","3.26%"
"1995-12-01","615.90","605.40","622.90","605.00","","1.73%"
"1995-11-01","605.40","581.50","608.70","581.00","","4.11%"
